,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-05-09,0.1441701647858447,0.13756896855123257,0.14234120959016697,-0.034420737175147806,-0.4028549357994015,0.06958792652003744
2018-05-10,-0.13602351094878976,-0.14333465385197827,-0.13740859474747452,-0.04091459046421843,-0.3500832552183447,0.00897133664212521
2018-05-11,-0.13461021051256172,-0.13447908130245806,-0.13692050760072225,-0.04392535056952204,-0.18355126977981207,0.008230284530740345
2018-05-12,-0.06378152667017166,-0.0669320595473415,-0.06571062791632895,-0.027850300812192395,-0.1900735652715681,-0.004479924271508583
2018-05-13,-0.08639976384526683,-0.08807121019205168,-0.08866088333972114,-0.011838846869292116,-0.11796249110345156,0.025306961931743397
2018-05-14,-0.08834415345213721,-0.08981381703762181,-0.09045589167350865,-0.005075894211374264,-0.07672811240945993,0.036360763359933025
2018-05-15,-0.08235619709617625,-0.08395678116724448,-0.08439655398224498,-0.002025933714484016,-0.05016277798877432,0.036107128864890016
2018-05-16,-0.08725914236351323,-0.08846002208872082,-0.08931058778874502,0.001745571365703019,-0.01965189610827103,0.04221001568877361
2018-05-17,-0.08791718961174831,-0.08895418194467149,-0.08995329594108831,0.004552709339380017,0.0026716572342235685,0.04645842142972133
2018-05-18,-0.08843677605572428,-0.08938477465671991,-0.09044892554047772,0.007028387760488049,0.021077902778720636,0.04918293765034286
2018-05-19,-0.08983812511072549,-0.09064550403849238,-0.0918433952185328,0.009211034550424844,0.03719253229994057,0.05221489933497746
2018-05-20,-0.09062022257724951,-0.09133298491118608,-0.0926162394759848,0.010922708674553016,0.05021287095582478,0.0544325551445695
2018-05-21,-0.09135531759910506,-0.09199035712826868,-0.0933433590052207,0.012341401075197123,0.061111719718391785,0.05630702109340061
2018-05-22,-0.09206496128912438,-0.09262887376565336,-0.0940479025718081,0.01354157828467608,0.07025563155328673,0.05792500074138844
2018-05-23,-0.09262020653788358,-0.09312786940640574,-0.09459837093182046,0.014531185248074667,0.07783301154521337,0.059241821969665556
2018-05-24,-0.09310094307331708,-0.0935610614987494,-0.09507528056069635,0.015358317095639161,0.08416204122701926,0.0603449149784257
2018-05-25,-0.09351432950706826,-0.09393428904947436,-0.09548563872480355,0.016048355639385573,0.08944287172358084,0.06126953187055989
2018-05-26,-0.093856827337798,-0.09424359408615035,-0.09582557631853983,0.01662249524644797,0.09384221176245605,0.06203734982572184
2018-05-27,-0.09414642151328548,-0.09450540460064583,-0.09611306750609223,0.017101434911859226,0.09751252809085094,0.0626785873689261
2018-05-28,-0.09438982636568477,-0.09472558117191218,-0.09635474341920679,0.01750083634206546,0.10057371943683766,0.06321381373214402
2018-05-29,-0.09459318015910506,-0.09490958777216427,-0.09655665537792098,0.017833760790260757,0.10312641333834971,0.06365986535208876
2018-05-30,-0.09476360778084642,-0.0950638594821743,-0.0967258883306068,0.01811143501902268,0.1052556740260909,0.06403205982269268
2018-05-31,-0.09490615208343878,-0.09519292173404525,-0.0968674405218422,0.01834300786587386,0.10703162265440633,0.06434252850864643
2018-06-01,-0.09502523094087695,-0.09530075619316923,-0.09698569322539588,0.01853612943349515,0.108512874607979,0.06460146314098245
2018-06-02,-0.09512473597808667,-0.09539087879586433,-0.09708451096316638,0.018697205281434398,0.10974840179197233,0.0648174627787017
